country,tests,testpop,density,urbanpop,quarantine,schools,restrictions,hospibed,medianage,gdp2018,crime_index,population2020,smoking2016,females2018
Somalia,NA,NA,25,47,,,,0.9,17,NA,NA,NA,NA,NA
Sudan,NA,NA,25,35,,,,0.8,20,NA,NA,NA,NA,NA
Suriname,NA,NA,4,65,,,,3.1,29,NA,NA,NA,NA,NA
Taiwan*,18812,1266.041622,673,79,,2/2/20,,10.4,42,NA,NA,NA,NA,NA
The Bahamas,NA,NA,39,86,,,,2.9,32,NA,NA,NA,NA,NA
The Gambia,NA,NA,239,59,,,,1.1,18,NA,NA,NA,NA,NA
Togo,NA,NA,152,43,,,,0.8,19,NA,NA,NA,NA,NA
Trinidad and Tobago,NA,NA,273,52,,,,3,36,NA,NA,NA,NA,NA
US,62657,5282.772093,36,83,,,,2.9,38,NA,NA,NA,NA,NA
Uzbekistan,NA,NA,79,50,,,,4,28,NA,NA,NA,NA,NA
Venezuela,NA,NA,32,80,,,,0.8,30,NA,NA,NA,NA,NA
Zambia,NA,NA,25,45,,,,2,18,NA,NA,NA,NA,NA
